V,L_INTRANS,L_COND_PRES,L_2,,L_SING;Vpici2-s
V,L_INTRANS,L_COND_PRES,L_3,,L_PLUR;Vpici3-p
V,L_INTRANS,L_COND_PRES,L_3,,L_SING;Vpici3-s
V,L_INTRANS,L_FUTUR_ANT,L_1,,L_PLUR;Vpiui1-p
V,L_INTRANS,L_FUTUR_ANT,L_1,,L_SING;Vpiui1-s
V,L_INTRANS,L_FUTUR_ANT,L_2,,L_PLUR;Vpiui2-p
V,L_INTRANS,L_FUTUR_ANT,L_2,,L_SING;Vpiui2-s
V,L_INTRANS,L_FUTUR_ANT,L_3,,L_PLUR;Vpiui3-p
V,L_INTRANS,L_FUTUR_ANT,L_3,,L_SING;Vpiui3-s
V,L_INTRANS,L_FUTUR,L_1,,L_PLUR;Vpifi1-p
V,L_INTRANS,L_FUTUR,L_1,,L_SING;Vpifi1-s
V,L_INTRANS,L_FUTUR,L_2,,L_PLUR;Vpifi2-p
V,L_INTRANS,L_FUTUR,L_2,,L_SING;Vpifi2-s
V,L_INTRANS,L_FUTUR,L_3,,L_PLUR;Vpifi3-p
V,L_INTRANS,L_FUTUR,L_3,,L_SING;Vpifi3-s
V,L_INTRANS,L_IMPFT,L_1,,L_PLUR;Vpiii1-p
V,L_INTRANS,L_IMPFT,L_1,,L_SING;Vpiii1-s
V,L_INTRANS,L_IMPFT,L_2,,L_PLUR;Vpiii2-p
V,L_INTRANS,L_IMPFT,L_2,,L_SING;Vpiii2-s
V,L_INTRANS,L_IMPFT,L_3,,L_PLUR;Vpiii3-p
V,L_INTRANS,L_IMPFT,L_3,,L_SING;Vpiii3-s
V,L_INTRANS,L_PASS_ANT,L_1,,L_PLUR;Vpini1-p
V,L_INTRANS,L_PASS_ANT,L_1,,L_SING;Vpini1-s
V,L_INTRANS,L_PASS_ANT,L_2,,L_PLUR;Vpini2-p
V,L_INTRANS,L_PASS_ANT,L_2,,L_SING;Vpini2-s
V,L_INTRANS,L_PASS_ANT,L_3,,L_PLUR;Vpini3-p
V,L_INTRANS,L_PASS_ANT,L_3,,L_SING;Vpini3-s
V,L_INTRANS,L_PASS,L_1,,L_PLUR;Vpisi1-p
V,L_INTRANS,L_PASS,L_1,,L_SING;Vpisi1-s
V,L_INTRANS,L_PASS,L_2,,L_PLUR;Vpisi2-p
V,L_INTRANS,L_PASS,L_2,,L_SING;Vpisi2-s
V,L_INTRANS,L_PASS,L_3,,L_PLUR;Vpisi3-p
V,L_INTRANS,L_PASS,L_3,,L_SING;Vpisi3-s
V,L_INTRANS,L_PC,L_1,,L_PLUR;Vpiai1-p
V,L_INTRANS,L_PC,L_1,,L_SING;Vpiai1-s
V,L_INTRANS,L_PC,L_2,,L_PLUR;Vpiai2-p
V,L_INTRANS,L_PC,L_2,,L_SING;Vpiai2-s
